lead_id,origin,first_contact_date,first_contact_month,is_converted,num_days_to_convert
56c25287be94f28752503a1cb341c896,organic_search,2017-08-07,2017-08,0.0,
710ba53b0d353329706ee1bedf4b9b39,organic_search,2017-08-10,2017-08,0.0,
80b7b0e690b99b5246e4b11990fb8184,social,2017-09-12,2017-09,0.0,
b34757e1761fdbe6d687ecf4d698447a,social,2017-07-10,2017-07,0.0,
8e7af20b649bd58357ffc4aa7cf5e88f,social,2018-02-08,2018-02,0.0,
96add356f09fd7a5941ebb73c114b051,direct_traffic,2018-01-10,2018-01,0.0,
8e952443b19bfc5d0b90e6c4eabcb8fb,,2018-01-28,2018-01,0.0,
06dc745ebe65fdc0b40a6360a1876967,social,2018-05-25,2018-05,0.0,
5134cb3d435ee631ad39aaa79f8874d0,direct_traffic,2017-10-21,2017-10,0.0,
5ff3fd94bc09fae5dab3de636b8f130c,paid_search,2018-01-29,2018-01,0.0,
4cc863f5bb92c44a3936263859171e53,other_publicities,2018-05-09,2018-05,0.0,
936c567e63dabf5ab46ed2440f376fc8,social,2018-02-20,2018-02,0.0,
1ca6bbff2b5e3a0f442e1407ec1c1654,organic_search,2018-04-26,2018-04,0.0,
c3804daac5b8859f0975d20c9fe3370e,organic_search,2018-01-05,2018-01,0.0,
e66d9dab8705f19bd91b48f1a6bc5487,organic_search,2018-05-20,2018-05,0.0,
8631e5b91354a846f00dbbf16ad94259,other,2018-04-12,2018-04,0.0,
e7cdf7ba8ccaec414712f15d40280d50,other,2017-07-11,2017-07,0.0,
ac83d3f400e95a5d31e7c59d2743bf73,organic_search,2017-07-08,2017-07,0.0,
aa839cfb74f9e5ae2a89572a0093dd58,social,2018-01-29,2018-01,0.0,
a51d33efc990731cb31eb6e9bcf79670,social,2018-03-07,2018-03,0.0,
280d8c73b56b79f1059539da36c7ae4a,,2018-05-11,2018-05,0.0,
a8de839ca3b50ef2eac03640ccf56afd,social,2017-09-05,2017-09,0.0,
c2411c0857a5002c42d2b16457deba2f,paid_search,2017-08-07,2017-08,0.0,
2f159dfb71adadd9ed3956f59a97c248,email,2018-05-25,2018-05,0.0,
ef4fc148f9ea60330eb0df54b1349a2d,paid_search,2017-08-27,2017-08,0.0,
b94fba7670eeb44dce2a0d8eb790e9f5,organic_search,2018-02-06,2018-02,1.0,1.0
09ec0f40d1fec53253882a9f9f913cbd,referral,2017-08-24,2017-08,0.0,
c3e30ed7ac989117c7e1e719b4ac128f,direct_traffic,2018-02-20,2018-02,1.0,55.0
010d18a1aeff169f741b6fe97fdd6a1d,paid_search,2018-01-30,2018-01,0.0,
56acc3070ab7205fcdb09ec5c8071dac,paid_search,2017-10-16,2017-10,0.0,
3aab3d6ff7ff48ac335703d9125ad2a7,display,2017-11-24,2017-11,0.0,
fc90ef8f569ff0eecfdc2c3860ee64a1,paid_search,2018-03-24,2018-03,0.0,
e7a7ba56b1be30e178cd52820e063396,paid_search,2017-09-15,2017-09,0.0,
16ff2a6adf8f3b8d2ec7bb6777eac8a0,organic_search,2018-03-21,2018-03,0.0,
65c6cd63f9c7a97d36b6648b1795f35e,organic_search,2018-03-21,2018-03,0.0,
c24c47dd1b2e9aac64cab553d94a22d7,referral,2018-01-01,2018-01,0.0,
e8520871e749a7ea9fb362d1805f28be,direct_traffic,2018-03-20,2018-03,0.0,
f56fd81299f45d30fae410987983d000,organic_search,2017-11-16,2017-11,0.0,
c1ca185ea0fad2ac9c1e9bf8e21c793e,organic_search,2018-04-20,2018-04,0.0,
9078bbd890a90f1aa3c5e8d972394eb6,display,2018-05-14,2018-05,0.0,
a90a37898cc5f2718385a2fb981caaff,social,2018-04-27,2018-04,1.0,17.0
f63d6b3e439d2ef66cf77266122a88bf,organic_search,2018-04-04,2018-04,0.0,
5afa3c562f5bf2eff62de390e531c25d,paid_search,2017-07-08,2017-07,0.0,
943344b5f592e157b66b4b2c6843b301,organic_search,2018-02-06,2018-02,0.0,
13602f4cdec52bd97a46254441b3388d,other_publicities,2018-05-15,2018-05,0.0,
4ab9470d39a8977d187d3798564676b3,organic_search,2018-04-26,2018-04,0.0,
2dbebc911a1207004e14e56b7a083fc6,organic_search,2018-04-26,2018-04,0.0,
955ae0c84845908d3b53f191436ec1f1,social,2018-04-27,2018-04,0.0,
4ce4011e6bdfd15319697206ae16ea7f,organic_search,2018-01-08,2018-01,0.0,
f5a6556225bb4e85ce5be5dda9d05b8a,paid_search,2018-04-23,2018-04,0.0,
0173e8d8b1d94a355b440fb67388f532,paid_search,2017-10-18,2017-10,1.0,188.0
